TC ID,Objective,Test Steps,Expected Result,Actual Result
TC ID - 001,Verify the Overview page opens correctly.,"1. Open the BraceLink application on the system.
 2. Go to the Overview page from the main page.
 3. Wait for the Overview page to load completely.
 4. View the complete Overview page and its sections.
 5. Check the Overview page for any errors.","1. The BraceLink application should open successfully on the system.
 2. The Overview page should open successfully from the main page.
 3. The Overview page should load completely without any issue.
 4. The complete Overview page and its sections should be displayed.
 5. The Overview page should not show any errors.","1. The BraceLink application opened successfully on the system.
 2. The Overview page opened successfully from the main page.
 3. The Overview page loaded completely without any issue.
 4. The complete Overview page and its sections were displayed correctly.
 5. No errors were observed on the Overview page."
TC ID - 002,Verify the Project dropdown shows the available projects.,"1. Open the BraceLink application on the system.
 2. Go to the Overview page from the main page.
 3. Find the Project dropdown on the Overview page.
 4. Click the Project dropdown to view the list.
 5. Check all the project names shown in the list.","1. The BraceLink application should open successfully on the system.
 2. The Overview page should open successfully from the main page.
 3. The Project dropdown should be visible on the Overview page.
 4. The Project dropdown should open successfully and show the list.
 5. All available project names should be shown correctly in the list.","1. The BraceLink application opened successfully.
 2. The Overview page opened successfully from the main page.
 3. The Project dropdown was visible on the Overview page.
 4. The Project dropdown opened successfully and displayed the project list.
 5. All available project names were displayed correctly in the list."
TC ID - 003,Verify a project can be selected from the Project dropdown.,"1. Open the BraceLink application on the system.
 2. Go to the Overview page from the main page.
 3. Click the Project dropdown to view the projects.
 4. Select a project from the available project list.
 5. Check the selected project name on the Overview page.","1. The BraceLink application should open successfully.
 2. The Overview page should open successfully.
 3. The Project dropdown should open successfully.
 4. The project should be selected successfully from the project list.
 5. The selected project name should be displayed correctly.","1. The BraceLink application opened successfully.
 2. The Overview page opened successfully.
 3. The Project dropdown opened and displayed the available projects.
 4. The selected project was successfully chosen from the list.
 5. The selected project name was displayed correctly on the Overview page."
TC ID - 004,Verify the Remote Command count is displayed correctly.,"1. Open the BraceLink application on the system.
 2. Go to the Overview page from the main page.
 3. Select a project from the Project dropdown.
 4. Find the Remote Command Counts section on the page.
 5. Check the Remote Command count shown for the project.","1. The BraceLink application should open successfully.
 2. The Overview page should open successfully.
 3. The project should be selected successfully from the Project dropdown.
 4. The Remote Command Counts section should be visible.
 5. The correct Remote Command count should be displayed.","1. The BraceLink application opened successfully.
 2. The Overview page opened successfully.
 3. The project was successfully selected from the Project dropdown.
 4. The Remote Command Counts section was visible on the page.
 5. The correct Remote Command count was displayed for the selected project."
TC ID - 005,Verify the Overview data changes when another project is selected.,"1. Open the BraceLink application on the system.
 2. Go to the Overview page from the main page.
 3. Select the first project and note its Overview data.
 4. Select another project from the Project dropdown.
 5. Check the Overview data for the newly selected project.","1. The BraceLink application should open successfully.
 2. The Overview page should open successfully.
 3. The first project's Overview data should be displayed correctly.
 4. Another project should be selected successfully from the Project dropdown.
 5. The Overview data should change based on the selected project.","1. The BraceLink application opened successfully.
 2. The Overview page opened successfully from the main page.
 3. The first project was selected and its Overview data was displayed.
 4. Another project was selected successfully from the Project dropdown.
 5. The Overview data changed and displayed the data related to the newly selected project"
TC ID - 006,Verify the Project Information is displayed correctly.,"1. Open the BraceLink application on the system.
 2. Go to the Project Information page.
 3. View the project information section displayed on the page.
 4. Check the project details shown in the information section.
 5. Verify all the displayed project information.","1. The BraceLink application should open properly.
 2. The Project Information page should open properly.
 3. The project information section should be displayed.
 4. The project details should be displayed correctly.
 5. All the project information should be correct.","1. The BraceLink application opened successfully.
 2. The Project Information page opened successfully.
 3. The Project Information section was displayed on the page.
 4. The project details were displayed for verification.
 5. The Created At date and time was mismatched and did not show the current date and time, so the project information was not displayed completely correctly."
TC ID - 007,Verify that the Edit Project function updates the required project details correctly.,"1. Open the BraceLink application on the system.
 2. Go to the Project Information page.
 3. Select the required project and click Edit Project.
 4. Update the required project details in the form.
 5. Save the updated project information.","1. The BraceLink application should open properly.
 2. The Project Information page should open properly.
 3. The project should open in Edit Project mode.
 4. The required project details should be updated.
 5. The updated project information should be saved correctly.","1. The BraceLink application opened successfully.
 2. The Project Information page opened successfully.
 3. The required project was selected and opened in Edit Project mode.
 4. The required project details were updated successfully in the form.
 5. The updated project information was saved successfully."
TC ID - 008,Verify that data related to deleted documents is removed from the Workspace,"1. Open the BraceLink application.
2. Go to the Workspace panel and select the WesternDigital project.
3. Open the Upload Document tab and delete all uploaded documents.
4. Check the Status Variables, Data Variables, Events, Alarms, States, and Reports sections.
5. Verify whether any data related to the deleted documents is still displayed.","1. The BraceLink application should open successfully.
2. The Workspace should display the selected WesternDigital project correctly.
3. All selected documents should be deleted successfully from the Upload Document section.
4. The Status Variables, Data Variables, Events, Alarms, States, and Reports sections should not display data related to the deleted documents.
5. The Workspace should not contain any data associated with the deleted documents","1. The BraceLink application opened successfully.
2. The WesternDigital project was selected and displayed in the Workspace.
3. The uploaded documents were deleted successfully from the Upload Document section.
4. The Status Variables, Data Variables, Events, Alarms, States, and Reports sections continued to display data related to the deleted documents.
5. Deleted document data remained visible in the Workspace."
TC ID - 009,Verify that data from another project is not displayed after switching between projects.,"1. Open the BraceLink application and go to the Workspace.
2. Select the WesternDigital project and delete all its uploaded documents.
3. Select the Lithography project from the Current Project dropdown.
4. Switch back to the WesternDigital project.
5. Check the document contents, variables, events, alarms, states, and reports","1. The BraceLink application and Workspace should open successfully.
2. All documents in the WesternDigital project should be deleted successfully.
3. The Lithography project data should be displayed only under the Lithography project.
4. The WesternDigital project should load independently without retaining data from Lithography.
5. The related sections in WesternDigital should be blank when all its documents have been deleted.","1. The BraceLink application and Workspace opened successfully.
2. All documents in the WesternDigital project were deleted successfully.
3. The Lithography project was selected and its data was displayed.
4. After switching back to WesternDigital, Lithography project data was displayed under WesternDigital.
5. The related sections in WesternDigital were not blank and contained Lithography project data."
TC ID - 010,Verify that the Extraction function displays the required extracted information correctly.,"1. Open the BraceLink application on the system.
 2. Go to the Extraction page.
 3. Select the required document for extraction.
 4. Start the extraction process from the page.
 5. Check the information extracted from the document.","1. The BraceLink application should open properly.
 2. The Extraction page should open properly.
 3. The required document should be selected for extraction.
 4. The extraction process should start.
 5. The extracted information should be displayed correctly.","1. The BraceLink application opened successfully.
 2. The Extraction page opened successfully.
 3. The required document was selected for extraction.
 4. The extraction process was started successfully.
 5. The extracted information was displayed correctly,"
TC ID - 011,Verify that the SML Definitions section displays the available definitions correctly.,"1. Open the BraceLink application on the system.
 2. Go to the SML Definitions page.
 3. View the SML Definitions section displayed on the page.
 4. Check the available SML definitions in the section.
 5. Verify all the displayed SML definitions.","1. The BraceLink application should open properly.
 2. The SML Definitions page should open properly.
 3. The SML Definitions section should be displayed.
 4. The available SML definitions should be displayed correctly.
 5. All the displayed SML definitions should be correct.","1. The BraceLink application opened successfully.
 2. The SML Definitions page opened successfully.
 3. The SML Definitions section was displayed on the page.
 4. The available SML definitions were displayed in the section.
 5. All displayed SML definitions were verified and found to be correct."
TC ID - 012,Check the Tool dropdown displays the available tool options correctly.,"1. Open the BraceLink application.
 2. Go to the Project Information page.
 3. Open the Tool dropdown in the Add New Project form.
 4. View the available tool options in the dropdown.
 5. Check the tool option displayed in the dropdown.","1. The BraceLink application should open properly.
 2. The Project Information page should open properly.
 3. The Tool dropdown should open properly.
 4. The available tool options should be displayed.
 5. The tool option should be displayed correctly in the dropdown.","1. The BraceLink application opened successfully.
 2. The Project Information page opened successfully.
 3. The Add New Project form was opened and the Tool dropdown was accessed.
 4. The available tool options were displayed in the dropdown.
 5. The tool options were displayed correctly."
TC ID - 013,Check the Close button closes the Add New Project form correctly.,"1. Open the BraceLink application.
 2. Go to the Project Information page.
 3. Open the Add New Project form.
 4. Click the Close button shown at the bottom.
 5. Check the Project Information page after closing the form.","1. The BraceLink application should open properly.
 2. The Project Information page should open properly.
 3. The Add New Project form should be displayed.
 4. The Add New Project form should be closed.
 5. The Project Information page should be displayed again.","1. The BraceLink application opened successfully.
 2. The Project Information page opened successfully.
 3. The Add New Project form was opened successfully.
 4. The Close button was clicked and the form closed successfully.
 5. The Project Information page was displayed again after closing the form."
TC ID - 014,Verify the Delete Project feature is available and allows a project to be deleted.,"1. Open the BraceLink application.
 2. Go to the Workspace panel.
 3. Select a specific project from the project list.
 4. Check the available options or buttons for the selected project.
 5. Check whether the Delete Project option is available and try to delete the selected project.","1. The BraceLink application should open successfully.
 2. The Workspace panel should open successfully.
 3. The required project should be selected successfully.
 4. The available project options should be displayed.
 5. A Delete Project option should be available and the selected project should be deleted successfully.","1. The BraceLink application opened successfully.
 2. The Workspace panel opened successfully.
 3. The required project was selected successfully.
 4. The available project options were displayed, but the Delete Project option was not available.
 5. The selected project could not be deleted because the Delete Project feature was missing."
TC ID - 015,Verify the Refresh feature updates the project list without restarting the application.,"1. Open the BraceLink application.
 2. Go to the Workspace panel.
 3. Add a new project successfully.
 4. Check the Workspace and Overview panels for the newly added project.
 5. Check whether a Refresh option is available and verify the project list without restarting the application.","1. The BraceLink application should open successfully.
 2. The Workspace panel should open successfully.
 3. A new project should be added successfully.
 4. The newly added project should appear in the Workspace and Overview panels.
 5. A Refresh option should be available and should update the project list without requiring an application restart.","1. The BraceLink application opened successfully.
 2. The Workspace panel opened successfully.
 3. A new project was added successfully.
 4. The newly added project did not appear immediately in the Workspace or Overview panels.
 5. The Refresh feature was not available, and the new project appeared only after restarting the application."
TC ID - 016,Check the Document Type dropdown displays the available document types correctly.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. Open the Document Type option and view the available document types.
 5. Check all the document types displayed in the list.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The available document types should be displayed.
 5. All the document types should be shown correctly.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The Document Type dropdown was opened successfully and the available options were displayed.
 5. All document types were displayed correctly in the dropdown without any missing or incorrect options."
TC ID - 017,Check the uploaded document list displays the required document details correctly.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. View the uploaded document table and check the details shown for each document.
 5. Check all the required information displayed in the document table.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The uploaded document table and its details should be displayed.
 5. The required document information should be shown correctly.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The uploaded documents were displayed in the document table.
 5. The required document details were displayed correctly for the uploaded documents without any missing information."
TC ID - 018,Check the Document Status is displayed correctly for uploaded documents.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. View the Status column shown for the uploaded documents.
 5. Select a document and check the status displayed for it.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The Status column should be displayed in the table.
 5. The selected document status should be displayed correctly.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The uploaded document table displayed the Status column.
 5. The selected document showed the correct status without any mismatch in the displayed status."
TC ID - 019,Check the Analyze option processes the selected uploaded document correctly.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. Select an uploaded document and click the Analyze option.
 5. View the document status after the analysis process is completed.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The selected document should be processed for analysis.
 5. The document status should be updated after analysis.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The uploaded document was selected and the Analyze option was clicked successfully.
 5. The selected document was analyzed successfully and updated after the analysis process."
TC ID - 020,Check the Delete option removes the selected uploaded document correctly.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. Select an uploaded document and click the Delete option.
 5. View the document table and check the selected document after deletion.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The selected document should be removed from the list.
 5. The deleted document should no longer be shown in the table.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The required uploaded document was selected and the Delete option was clicked successfully.
 5. The selected document was removed successfully and was no longer available in the document table."
TC ID - 021,Check the Update Extraction option updates the selected extraction data correctly.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. Select the required extraction records and click Update Extraction.
 5. View the extraction data and check the details after the update.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The selected extraction records should be updated.
 5. The updated extraction data should be displayed correctly","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The required extraction records were selected and the Update Extraction option was clicked successfully.
 5. The selected extraction records were updated successfully and the latest extraction details were displayed."
TC ID - 022,Check the extraction tabs display their corresponding information correctly.,"1. Open the BraceLink application from the system.
 2. Go to the Workspace section from the main page.
 3. Open the Upload Document page from the Workspace.
 4. Select an extraction tab and view the information displayed under it.
 5. Check the available extraction tabs and their related information.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Upload Document page should open properly.
 4. The selected tab should display its related information.
 5. The available tabs and their information should be displayed correctly.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Upload Document page opened successfully.
 4. The available extraction tabs were displayed and could be selected successfully.
 5. Each selected extraction tab displayed its corresponding information correctly without any mismatch."
TC ID - 023,Check the extraction summary shows the required document and record details.,"1. Open the BraceLink application.
 2. Go to the Workspace section.
 3. Open the Extraction page.
 4. View the Extraction Summary section and its details.
 5. Check the Total Documents and Total Records Extracted values.","1. The BraceLink application should open properly.
 2. The Workspace section should be displayed properly.
 3. The Extraction page should open properly.
 4. The Extraction Summary section and its details should be displayed.
 5. The Total Documents and Total Records Extracted values should be shown correctly.","1. The BraceLink application opened successfully.
 2. The Workspace section opened successfully.
 3. The Extraction page opened successfully.
 4. The Extraction Summary section was displayed with the required values.
 5. The Total Documents and Total Records Extracted values were displayed correctly based on the available extraction data."
